Station,Habitat,Trap code,Coord.,Alt.,Date,Period,Fraction,Number,Dry weights (g),Comments,Status
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/20/2016,April,Messor,4,0.00329,,WT
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/20/2016,April,Other,,0.0237,,WT
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBSEP1,EPA,ALBSEP13,N33.14947 W3.94111,906,4/20/2016,April,Messor,1,0.00095,,WT
ALBSEP1,EPA,ALBSEP13,N33.14947 W3.94111,906,4/20/2016,April,Other,,0.00875,,WT
ALBSEP1,EPA,ALBSEP13,N33.14947 W3.94111,906,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBSEP1,EPA,ALBSEP13,N33.14947 W3.94111,906,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBSEP1,EPA,ALBSEP14,N33.14949 W3.94163,906,4/20/2016,April,Messor,0,0,,WT
ALBSEP1,EPA,ALBSEP14,N33.14949 W3.94163,906,4/20/2016,April,Other,,0.04005,,WT
ALBSEP1,EPA,ALBSEP14,N33.14949 W3.94163,906,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBSEP1,EPA,ALBSEP14,N33.14949 W3.94163,906,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBALF2,ALF,ALBALF21,N33.25854 W3.98782,1094,4/21/2016,April,Messor,0,0,,WT
ALBALF2,ALF,ALBALF21,N33.25854 W3.98782,1094,4/21/2016,April,Other,,0.11374,,WT
ALBALF2,ALF,ALBALF21,N33.25854 W3.98782,1094,4/21/2016,April,Tenebrionidae Diet,0,0,,WT
ALBALF2,ALF,ALBALF21,N33.25854 W3.98782,1094,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBALF2,ALF,ALBALF22,N33.25850 W3.98740,1095,4/21/2016,April,Messor,0,0,,WT
ALBALF2,ALF,ALBALF22,N33.25850 W3.98740,1095,4/21/2016,April,Other,,0.04173,,WT
ALBALF2,ALF,ALBALF22,N33.25850 W3.98740,1095,4/21/2016,April,Tenebrionidae Diet,2,0.04161,,WT
ALBALF2,ALF,ALBALF22,N33.25850 W3.98740,1095,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBALF2,ALF,ALBALF23,N33.25804 W3.98728,1095,4/21/2016,April,Messor,0,0,,WT
ALBALF2,ALF,ALBALF23,N33.25804 W3.98728,1095,4/21/2016,April,Other,,0.75443,,WT
ALBALF2,ALF,ALBALF23,N33.25804 W3.98728,1095,4/21/2016,April,Tenebrionidae Diet,1,0.00491,,WT
ALBALF2,ALF,ALBALF23,N33.25804 W3.98728,1095,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBALF2,ALF,ALBALF24,N33.25805 W3.98782,1092,4/21/2016,April,Messor,0,0,,WT
ALBALF2,ALF,ALBALF24,N33.25805 W3.98782,1092,4/21/2016,April,Other,,0.04328,,WT
ALBALF2,ALF,ALBALF24,N33.25805 W3.98782,1092,4/21/2016,April,Tenebrionidae Diet,1,0.00565,,WT
ALBALF2,ALF,ALBALF24,N33.25805 W3.98782,1092,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBLDD2,WED,ALBLDD21,N33.21501 W3.91351,894,4/21/2016,April,Messor,2,0.0035,,WT
ALBLDD2,WED,ALBLDD21,N33.21501 W3.91351,894,4/21/2016,April,Other,,0.44201,,WT
ALBLDD2,WED,ALBLDD21,N33.21501 W3.91351,894,4/21/2016,April,Tenebrionidae Diet,0,0,,WT
ALBLDD2,WED,ALBLDD21,N33.21501 W3.91351,894,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBLDD2,WED,ALBLDD22,N33.21512 W3.91304,892,4/21/2016,April,Messor,28,0.03986,,WT
ALBLDD2,WED,ALBLDD22,N33.21512 W3.91304,892,4/21/2016,April,Other,,1.055,,WT
ALBLDD2,WED,ALBLDD22,N33.21512 W3.91304,892,4/21/2016,April,Tenebrionidae Diet,1,0.0045,,WT
ALBLDD2,WED,ALBLDD22,N33.21512 W3.91304,892,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBLDD2,WED,ALBLDD23,N33.21472 W3.91295,893,4/21/2016,April,Messor,0,0,,WT
ALBLDD2,WED,ALBLDD23,N33.21472 W3.91295,893,4/21/2016,April,Other,,0.76254,,WT
ALBLDD2,WED,ALBLDD23,N33.21472 W3.91295,893,4/21/2016,April,Tenebrionidae Diet,0,0,,WT
ALBLDD2,WED,ALBLDD23,N33.21472 W3.91295,893,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBLDD2,WED,ALBLDD24,N33.21459 W3.91344,894,4/21/2016,April,Messor,0,0,,WT
ALBLDD2,WED,ALBLDD24,N33.21459 W3.91344,894,4/21/2016,April,Other,,0.9069,,WT
ALBLDD2,WED,ALBLDD24,N33.21459 W3.91344,894,4/21/2016,April,Tenebrionidae Diet,0,0,,WT
ALBLDD2,WED,ALBLDD24,N33.21459 W3.91344,894,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBSEP2,EPA,ALBSEP21,N33.22212 W3.93078,937,4/21/2016,April,Messor,0,0,,WT
ALBSEP2,EPA,ALBSEP21,N33.22212 W3.93078,937,4/21/2016,April,Other,,0.02686,,WT
ALBSEP2,EPA,ALBSEP21,N33.22212 W3.93078,937,4/21/2016,April,Tenebrionidae Diet,0,0,,WT
ALBSEP2,EPA,ALBSEP21,N33.22212 W3.93078,937,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBSEP2,EPA,ALBSEP22,N33.22204 W3.93029,935,4/21/2016,April,Messor,0,0,,WT
ALBSEP2,EPA,ALBSEP22,N33.22204 W3.93029,935,4/21/2016,April,Other,,0.07763,,WT
ALBSEP2,EPA,ALBSEP22,N33.22204 W3.93029,935,4/21/2016,April,Tenebrionidae Diet,0,0,,WT
ALBSEP2,EPA,ALBSEP22,N33.22204 W3.93029,935,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBSEP2,EPA,ALBSEP23,N33.22157 W3.93037,935,4/21/2016,April,Messor,0,0,,WT
ALBSEP2,EPA,ALBSEP23,N33.22157 W3.93037,935,4/21/2016,April,Other,,0.03135,,WT
ALBSEP2,EPA,ALBSEP23,N33.22157 W3.93037,935,4/21/2016,April,Tenebrionidae Diet,0,0,,WT
ALBSEP2,EPA,ALBSEP23,N33.22157 W3.93037,935,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBSEP2,EPA,ALBSEP24,N33.22169 W3.93088,936,4/21/2016,April,Messor,1,0.00116,,WT
ALBSEP2,EPA,ALBSEP24,N33.22169 W3.93088,936,4/21/2016,April,Other,,0.05368,,WT
ALBSEP2,EPA,ALBSEP24,N33.22169 W3.93088,936,4/21/2016,April,Tenebrionidae Diet,0,0,,WT
ALBSEP2,EPA,ALBSEP24,N33.22169 W3.93088,936,4/21/2016,April,Tenebrionidae Other,0,0,,WT
ALBALF3,ALF,ALBALF31,N33.29622 W3.94857,1063,4/22/2016,April,Messor,7,0.01697,,WT
ALBALF3,ALF,ALBALF31,N33.29622 W3.94857,1063,4/22/2016,April,Other,,0.02699,,WT
ALBALF3,ALF,ALBALF31,N33.29622 W3.94857,1063,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBALF3,ALF,ALBALF31,N33.29622 W3.94857,1063,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBALF3,ALF,ALBALF32,N33.29624 W3.94805,1062,4/22/2016,April,Messor,3,0.00447,,WT
ALBALF3,ALF,ALBALF32,N33.29624 W3.94805,1062,4/22/2016,April,Other,,0.00803,,WT
ALBALF3,ALF,ALBALF32,N33.29624 W3.94805,1062,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBALF3,ALF,ALBALF32,N33.29624 W3.94805,1062,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBALF3,ALF,ALBALF33,N33.29584 W3.94790,1061,4/22/2016,April,Messor,2,0.0009,,WT
ALBALF3,ALF,ALBALF33,N33.29584 W3.94790,1061,4/22/2016,April,Other,,0.01507,,WT
ALBALF3,ALF,ALBALF33,N33.29584 W3.94790,1061,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBALF3,ALF,ALBALF33,N33.29584 W3.94790,1061,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBALF3,ALF,ALBALF34,N33.29576 W3.94850,1060,4/22/2016,April,Messor,13,0.0206,,WT
ALBALF3,ALF,ALBALF34,N33.29576 W3.94850,1060,4/22/2016,April,Other,,0.02155,,WT
ALBALF3,ALF,ALBALF34,N33.29576 W3.94850,1060,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBALF3,ALF,ALBALF34,N33.29576 W3.94850,1060,4/22/2016,April,Tenebrionidae Other,1,0.0028,,WT
ALBLDD3,WED,ALBLDD31,N33.26425 W3.84328,859,4/22/2016,April,Messor,2,0.00349,,WT
ALBLDD3,WED,ALBLDD31,N33.26425 W3.84328,859,4/22/2016,April,Other,,0.31513,,WT
ALBLDD3,WED,ALBLDD31,N33.26425 W3.84328,859,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBLDD3,WED,ALBLDD31,N33.26425 W3.84328,859,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBLDD3,WED,ALBLDD32,N33.26352 W3.84290,859,4/22/2016,April,Messor,258,0.5653,,WT
ALBLDD3,WED,ALBLDD32,N33.26352 W3.84290,859,4/22/2016,April,Other,,0.0332,,WT
ALBLDD3,WED,ALBLDD32,N33.26352 W3.84290,859,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBLDD3,WED,ALBLDD32,N33.26352 W3.84290,859,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBLDD3,WED,ALBLDD33,N33.26335 W3.84313,859,4/22/2016,April,Messor,39,0.07589,,WT
ALBLDD3,WED,ALBLDD33,N33.26335 W3.84313,859,4/22/2016,April,Other,,0.06812,,WT
ALBLDD3,WED,ALBLDD33,N33.26335 W3.84313,859,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBLDD3,WED,ALBLDD33,N33.26335 W3.84313,859,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBLDD3,WED,ALBLDD34,N33.26414 W3.84353,858,4/22/2016,April,Messor,1,0.00253,,WT
ALBLDD3,WED,ALBLDD34,N33.26414 W3.84353,858,4/22/2016,April,Other,,0.0325,,WT
ALBLDD3,WED,ALBLDD34,N33.26414 W3.84353,858,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBLDD3,WED,ALBLDD34,N33.26414 W3.84353,858,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBREG3,REG,ALBREG31,N33.28377 W3.89446,947,4/22/2016,April,Messor,0,0,,WT
ALBREG3,REG,ALBREG31,N33.28377 W3.89446,947,4/22/2016,April,Other,,0.03548,,WT
ALBREG3,REG,ALBREG31,N33.28377 W3.89446,947,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBREG3,REG,ALBREG31,N33.28377 W3.89446,947,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBREG3,REG,ALBREG32,N33.28381 W3.89393,945,4/22/2016,April,Messor,1,0.00115,,WT
ALBREG3,REG,ALBREG32,N33.28381 W3.89393,945,4/22/2016,April,Other,,0.02117,,WT
ALBREG3,REG,ALBREG32,N33.28381 W3.89393,945,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBREG3,REG,ALBREG32,N33.28381 W3.89393,945,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBREG3,REG,ALBREG33,N33.28341 W3.89383,945,4/22/2016,April,Messor,0,0,,WT
ALBREG3,REG,ALBREG33,N33.28341 W3.89383,945,4/22/2016,April,Other,,0.03999,,WT
ALBREG3,REG,ALBREG33,N33.28341 W3.89383,945,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBREG3,REG,ALBREG33,N33.28341 W3.89383,945,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBREG3,REG,ALBREG34,N33.28335 W3.89439,945,4/22/2016,April,Messor,0,0,,WT
ALBREG3,REG,ALBREG34,N33.28335 W3.89439,945,4/22/2016,April,Other,,0.02544,,WT
ALBREG3,REG,ALBREG34,N33.28335 W3.89439,945,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBREG3,REG,ALBREG34,N33.28335 W3.89439,945,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBSEP3,EPA,ALBSEP31,N33.21350 W3.86017,840,4/22/2016,April,Messor,0,0,,WT
ALBSEP3,EPA,ALBSEP31,N33.21350 W3.86017,840,4/22/2016,April,Other,,0.31365,,WT
ALBSEP3,EPA,ALBSEP31,N33.21350 W3.86017,840,4/22/2016,April,Tenebrionidae Diet,1,0.07301,,WT
ALBSEP3,EPA,ALBSEP31,N33.21350 W3.86017,840,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBSEP3,EPA,ALBSEP32,N33.21352 W3.85966,838,4/22/2016,April,Messor,0,0,,WT
ALBSEP3,EPA,ALBSEP32,N33.21352 W3.85966,838,4/22/2016,April,Other,,0,,WT
ALBSEP3,EPA,ALBSEP32,N33.21352 W3.85966,838,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBSEP3,EPA,ALBSEP32,N33.21352 W3.85966,838,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBSEP3,EPA,ALBSEP33,N33.21310 W3.85964,838,4/22/2016,April,Messor,0,0,,WT
ALBSEP3,EPA,ALBSEP33,N33.21310 W3.85964,838,4/22/2016,April,Other,,0.00723,,WT
ALBSEP3,EPA,ALBSEP33,N33.21310 W3.85964,838,4/22/2016,April,Tenebrionidae Diet,0,0,,WT
ALBSEP3,EPA,ALBSEP33,N33.21310 W3.85964,838,4/22/2016,April,Tenebrionidae Other,0,0,,WT
ALBSEP3,EPA,ALBSEP34,N33.21307 W3.86017,839,4/22/2016,April,Messor,1,0.00175,,WT
ALBSEP3,EPA,ALBSEP34,N33.21307 W3.86017,839,4/22/2016,April,Other,,0.01796,,WT
ALBSEP3,EPA,ALBSEP34,N33.21307 W3.86017,839,4/22/2016,April,Tenebrionidae Diet,1,0.02924,,WT
ALBSEP3,EPA,ALBSEP34,N33.21307 W3.86017,839,4/22/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE1,ALF,WB61NE11,N32.70452 W2.29322,1438,4/26/2016,April,Messor,25,0.03357,,WT
WB61NE1,ALF,WB61NE11,N32.70452 W2.29322,1438,4/26/2016,April,Other,,0.47626,,WT
WB61NE1,ALF,WB61NE11,N32.70452 W2.29322,1438,4/26/2016,April,Tenebrionidae Diet,23,1.03153,,WT
WB61NE1,ALF,WB61NE11,N32.70452 W2.29322,1438,4/26/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE1,ALF,WB61NE12,N32.70439 W2.29259,1438,4/26/2016,April,Messor,4,0.0061,,NWT
WB61NE1,ALF,WB61NE12,N32.70439 W2.29259,1438,4/26/2016,April,Other,,0.3943,,NWT
WB61NE1,ALF,WB61NE12,N32.70439 W2.29259,1438,4/26/2016,April,Tenebrionidae Diet,26,2.34387,,NWT
WB61NE1,ALF,WB61NE12,N32.70439 W2.29259,1438,4/26/2016,April,Tenebrionidae Other,0,0,,NWT
WB61NE1,ALF,WB61NE13,N32.70403 W2.29272,1439,4/26/2016,April,Messor,0,0,,NWT
WB61NE1,ALF,WB61NE13,N32.70403 W2.29272,1439,4/26/2016,April,Other,,0.43083,,NWT
WB61NE1,ALF,WB61NE13,N32.70403 W2.29272,1439,4/26/2016,April,Tenebrionidae Diet,21,2.24133,,NWT
WB61NE1,ALF,WB61NE13,N32.70403 W2.29272,1439,4/26/2016,April,Tenebrionidae Other,0,0,,NWT
WB61NE1,ALF,WB61NE14,N32.70405 W2.29323,1440,4/26/2016,April,Messor,62,0.06919,,WT
WB61NE1,ALF,WB61NE14,N32.70405 W2.29323,1440,4/26/2016,April,Other,,0.08406,,WT
WB61NE1,ALF,WB61NE14,N32.70405 W2.29323,1440,4/26/2016,April,Tenebrionidae Diet,16,0.85591,,WT
WB61NE1,ALF,WB61NE14,N32.70405 W2.29323,1440,4/26/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE2,ALF,WB61NE21,N32.70424 W2.26634,1466,4/26/2016,April,Messor,9,0.01425,,WT
WB61NE2,ALF,WB61NE21,N32.70424 W2.26634,1466,4/26/2016,April,Other,,0.16232,,WT
WB61NE2,ALF,WB61NE21,N32.70424 W2.26634,1466,4/26/2016,April,Tenebrionidae Diet,4,0.15557,,WT
WB61NE2,ALF,WB61NE21,N32.70424 W2.26634,1466,4/26/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE2,ALF,WB61NE22,N32.70404 W2.26575,1465,4/26/2016,April,Messor,6,0.00519,,WT
WB61NE2,ALF,WB61NE22,N32.70404 W2.26575,1465,4/26/2016,April,Other,,0.5155,,WT
WB61NE2,ALF,WB61NE22,N32.70404 W2.26575,1465,4/26/2016,April,Tenebrionidae Diet,11,1.48223,,WT
WB61NE2,ALF,WB61NE22,N32.70404 W2.26575,1465,4/26/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE2,ALF,WB61NE23,N32.70367 W2.26598,1463,4/26/2016,April,Messor,19,0.02329,,WT
WB61NE2,ALF,WB61NE23,N32.70367 W2.26598,1463,4/26/2016,April,Other,,0.10093,,WT
WB61NE2,ALF,WB61NE23,N32.70367 W2.26598,1463,4/26/2016,April,Tenebrionidae Diet,6,0.88667,,WT
WB61NE2,ALF,WB61NE23,N32.70367 W2.26598,1463,4/26/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE2,ALF,WB61NE24,N32.70392 W2.26623,1463,4/26/2016,April,Messor,5,0.00635,,WT
WB61NE2,ALF,WB61NE24,N32.70392 W2.26623,1463,4/26/2016,April,Other,,0.24164,,WT
WB61NE2,ALF,WB61NE24,N32.70392 W2.26623,1463,4/26/2016,April,Tenebrionidae Diet,2,0.01926,,WT
WB61NE2,ALF,WB61NE24,N32.70392 W2.26623,1463,4/26/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE3,ALF,WB61NE31,N32.68708 W2.25530,1525,4/26/2016,April,Messor,6,0.00545,,WT
WB61NE3,ALF,WB61NE31,N32.68708 W2.25530,1525,4/26/2016,April,Other,,0.03562,,WT
WB61NE3,ALF,WB61NE31,N32.68708 W2.25530,1525,4/26/2016,April,Tenebrionidae Diet,6,0.22101,,WT
WB61NE3,ALF,WB61NE31,N32.68708 W2.25530,1525,4/26/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE3,ALF,WB61NE32,N32.68685 W2.25488,1528,4/26/2016,April,Messor,0,0,,WT
WB61NE3,ALF,WB61NE32,N32.68685 W2.25488,1528,4/26/2016,April,Other,,0.05538,,WT
WB61NE3,ALF,WB61NE32,N32.68685 W2.25488,1528,4/26/2016,April,Tenebrionidae Diet,7,0.34101,,WT
WB61NE3,ALF,WB61NE32,N32.68685 W2.25488,1528,4/26/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE3,ALF,WB61NE33,N32.68646 W2.25523,1527,4/26/2016,April,Messor,5,0.005,,WT
WB61NE3,ALF,WB61NE33,N32.68646 W2.25523,1527,4/26/2016,April,Other,,0.27226,,WT
WB61NE3,ALF,WB61NE33,N32.68646 W2.25523,1527,4/26/2016,April,Tenebrionidae Diet,9,0.34061,,WT
WB61NE3,ALF,WB61NE33,N32.68646 W2.25523,1527,4/26/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE3,ALF,WB61NE34,N32.68683 W2.25578,1525,4/26/2016,April,Messor,0,0,,WT
WB61NE3,ALF,WB61NE34,N32.68683 W2.25578,1525,4/26/2016,April,Other,,0.23209,,WT
WB61NE3,ALF,WB61NE34,N32.68683 W2.25578,1525,4/26/2016,April,Tenebrionidae Diet,11,0.51779,,WT
WB61NE3,ALF,WB61NE34,N32.68683 W2.25578,1525,4/26/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE4,ALF,WB61NE41,N32.68205 W2.29343,1463,4/26/2016,April,Messor,,,Jar disappeared,NWT
WB61NE4,ALF,WB61NE41,N32.68205 W2.29343,1463,4/26/2016,April,Other,,,Jar disappeared,NWT
WB61NE4,ALF,WB61NE41,N32.68205 W2.29343,1463,4/26/2016,April,Tenebrionidae Diet,,,Jar disappeared,NWT
WB61NE4,ALF,WB61NE41,N32.68205 W2.29343,1463,4/26/2016,April,Tenebrionidae Other,,,Jar disappeared,NWT
WB61NE4,ALF,WB61NE421,N32.68178 W2.29290,1459,4/26/2016,April,Messor,0,0,,WT
WB61NE4,ALF,WB61NE421,N32.68178 W2.29290,1459,4/26/2016,April,Other,,0.26923,,WT
WB61NE4,ALF,WB61NE421,N32.68178 W2.29290,1459,4/26/2016,April,Tenebrionidae Diet,10,0.42173,,WT
WB61NE4,ALF,WB61NE421,N32.68178 W2.29290,1459,4/26/2016,April,Tenebrionidae Other,0,0,,WT
WB61NE4,ALF,WB61NE43,N32.68156 W2.29300,1463,4/26/2016,April,Messor,0,0,Jar empty,NWT
WB61NE4,ALF,WB61NE43,N32.68156 W2.29300,1463,4/26/2016,April,Other,,0,Jar empty,NWT
WB61NE4,ALF,WB61NE43,N32.68156 W2.29300,1463,4/26/2016,April,Tenebrionidae Diet,0,0,Jar empty,NWT
WB61NE4,ALF,WB61NE43,N32.68156 W2.29300,1463,4/26/2016,April,Tenebrionidae Other,0,0,Jar empty,NWT
