Station,Lat,Lon,Code,Habitat_Fr,Habitat_en2
PISTA1,33.18906,-3.9816,WED,Oued à Pistacia atlantica,Wadi
PISTA2,33.21777,-3.98722,WED,Oued à Pistacia atlantica,Wadi
PISTA3,33.21374,-3.94364,WED,Oued à Pistacia atlantica,Wadi
PISTA4,33.26739,-3.94475,WED,Oued à Pistacia atlantica,Wadi
PISTA5,33.27604,-3.9107,WED,Oued à Pistacia atlantica,Wadi
PP40NE1,29.89938,-7.48278,EPA,Epandage à Zygophyllum,Alluvial spread area
PP40NE2,29.89977,-7.45908,REG,Reg,Reg
PP40NE3,29.87654,-7.46071,EPA,Epandage à Zygophyllum,Alluvial spread area
PP40NE4,29.88181,-7.49215,REG,Reg,Reg
PP40NE5,29.8885,-7.47239,REG,Reg,Reg
SANS1,32.31446,-2.37904,SAN,Sansouïre saharienne,Salty steppe
SANS2,32.32998,-2.37061,SAN,Sansouïre saharienne,Salty steppe
SANS3,32.26654,-2.39738,SAN,Sansouïre saharienne,Salty steppe
SANS4,32.27097,-2.36996,SAN,Sansouïre saharienne,Salty steppe
SANS5,32.3396,-2.36138,SAN,Sansouïre saharienne,Salty steppe
UB24SW1,32.9172,-4.91128,REG,Reg,Reg
UB24SW2,32.91745,-4.88498,REG,Reg,Reg
UB24SW3,32.89487,-4.88498,EPA,Epandage,Alluvial spread area
UB24SW4,32.89541,-4.91128,EPA,Epandage,Alluvial spread area
UB24SW5,32.90577,-4.89863,REG,Reg,Reg
VB02SE1,32.74769,-4.0016,REG,Reg,Reg
VB02SE2,32.74804,-3.97404,REG,Reg,Reg
VB02SE3,32.72547,-3.97384,REG,Reg,Reg
VB02SE4,32.72453,-4.00011,ALF,Alfatière,Macrochloa steppe
VB02SE5,32.73616,-3.98711,EPA,Epandage,Alluvial spread area
VB14SW1,32.92851,-3.95083,REG,Reg,Reg
VB14SW2,32.92837,-3.9225,REG,Reg,Reg
VB14SW3,32.90524,-3.92202,REG,Reg,Reg
VB14SW4,32.90565,-3.94929,EPA,Epandage,Alluvial spread area
VB14SW5,32.91688,-3.93535,REG,Reg,Reg
VB17NW1,33.24372,-3.95266,REG,Reg,Reg
VB17NW2,33.24394,-3.92644,REG,Reg,Reg
VB17NW3,33.22201,-3.92537,REG,Reg,Reg
VB17NW4,33.22181,-3.95174,REG,Reg,Reg
VB17NW5,33.23245,-3.9387,REG,Reg,Reg
VB84NW1,32.97655,-3.20103,REG,Reg,Reg
VB84NW2,32.97679,-3.17399,REG,Reg,Reg
VB84NW3,32.95816,-3.17614,REG,Reg,Reg
VB84NW4,32.95183,-3.19767,REG,Reg,Reg
VB84NW5,32.96318,-3.19304,ALF,Alfatière,Macrochloa steppe
VB85SE1,33.0221,-3.14706,REG,Reg,Reg
VB85SE2,33.0217,-3.12037,REG,Reg,Reg
VB85SE3,32.99928,-3.12061,REG,Reg,Reg
VB85SE4,32.99919,-3.14711,REG,Reg,Reg
VB85SE5,33.01056,-3.13407,REG,Reg,Reg
VC52SE1,33.65246,-3.47136,REG,Reg,Reg
VC52SE2,33.65212,-3.444,REG,Reg,Reg
VC52SE3,33.63064,-3.44553,REG,Reg,Reg
VC52SE4,33.63083,-3.47116,REG,Reg,Reg
VC52SE5,33.6425,-3.45835,REG,Reg,Reg
WA67CHENOP,32.34727,-2.308,EPA,Epandage à Atriplex halimus,Alluvial spread area
WA67NW1,32.3443,-2.34932,EPA,Epandage à Atriplex halimus,Alluvial spread area
WA67NW2,32.34373,-2.3227,EPA,Epandage à Salsola,Alluvial spread area
WA67NW3,32.32128,-2.32271,EPA,Epandage/reg à Fredolia,Alluvial spread area
WA67NW4,32.32142,-2.34927,EPA,Epandage/reg à Salsola,Alluvial spread area
WA67NW5,32.33263,-2.3359,EPA,Epandage/reg à Salsola,Alluvial spread area
WB61NE1,32.70417,-2.29306,ALF,Alfatière,Macrochloa steppe
WB61NE2,32.70424,-2.26585,ALF,Alfatière,Macrochloa steppe
WB61NE3,32.68553,-2.25491,ALF,Alfatière,Macrochloa steppe
WB61NE4,32.68225,-2.29274,ALF,Alfatière,Macrochloa steppe
WB61NE5,32.69308,-2.27949,ALF,Alfatière,Macrochloa steppe
WC24NE1,33.87822,-2.71555,ALF,Alfatière,Macrochloa steppe
WC24NE2,33.8781,-2.68879,ALF,Alfatière,Macrochloa steppe
WC24NE3,33.85576,-2.68914,ALF,Alfatière,Macrochloa steppe
WC24NE4,33.85588,-2.7159,ALF,Alfatière,Macrochloa steppe
WC24NE5,33.86718,-2.70229,ALF,Alfatière,Macrochloa steppe
WC43NE1,33.78783,-2.50081,EPA,Epandage à Anabasis,Alluvial spread area
WC43NE2,33.78772,-2.4733,EPA,Epandage à Anabasis,Alluvial spread area
WC43NE3,33.76426,-2.47316,EPA,Epandage à Anabasis,Alluvial spread area
WC43NE4,33.7645,-2.50062,EPA,Epandage à Anabasis,Alluvial spread area
WC43NE5,33.77213,-2.48469,EPA,Epandage à Anabasis,Alluvial spread area
